Timestamp,Which image looks better?,Which image looks better?,Which image looks better?,Which image looks better?,Which image looks better?,Which image looks better?,Which image looks better?,Which image looks better?,Which image looks better?,What is 3+4?,Which image looks better?,Which image looks better?,Which image looks better?,How similar is the quality between the 2 images?,Which image looks better?,Which image looks better?,Which image looks better?,Which image looks better?,Which image looks better?,Which image looks better?,What is 5 - 2?,Which image looks better?,Which image looks better?,Which image looks better?,How similar is the quality between the 2 images?,What is your Prolific ID?
8/24/2024 14:05:40,Model 2,Model 1,Model 2,Model 1,Model 1,Model 1,Model 2,Model 1,Model 1,7,Model 2,Model 1,Model 1,5,Model 1,Model 2,Model 1,Model 2,Model 2,Model 1,3,Model 1,Model 2,Model 1,5,
8/24/2024 14:33:29,Model 2,Model 1,Model 2,Model 1,Model 1,Model 2,Model 2,Model 2,Model 1,7,Model 1,Model 1,Model 2,4,Model 2,Model 2,Model 1,Model 1,Model 1,Model 2,3,Model 2,Model 2,Model 2,4,P0001
8/24/2024 14:33:29,Model 2,Model 2,Model 2,Model 2,Model 2,Model 2,Model 2,Model 1,Model 1,7,Model 1,Model 2,Model 1,2,Model 1,Model 2,Model 1,Model 1,Model 1,Model 1,3,Model 2,Model 2,Model 2,1,P0002
8/24/2024 14:36:36,Model 2,Model 2,Model 2,Model 2,Model 2,Model 2,Model 2,Model 2,Model 1,7,Model 2,Model 1,Model 1,4,Model 1,Model 2,Model 2,Model 1,Model 2,Model 2,3,Model 1,Model 2,Model 1,5,P0003
8/24/2024 14:37:22,Model 1,Model 1,Model 1,Model 2,Model 2,Model 1,Model 1,Model 2,Model 1,7,Model 2,Model 2,Model 1,3,Model 1,Model 1,Model 2,Model 1,Model 1,Model 2,3,Model 2,Model 1,Model 1,3,P0004
8/24/2024 14:38:19,Model 2,Model 1,Model 1,Model 1,Model 1,Model 2,Model 1,Model 1,Model 1,7,Model 2,Model 2,Model 1,4,Model 1,Model 1,Model 1,Model 1,Model 1,Model 1,3,Model 2,Model 1,Model 1,3,P0005
8/24/2024 14:38:21,Model 1,Model 2,Model 2,Model 2,Model 2,Model 2,Model 2,Model 1,Model 1,7,Model 2,Model 1,Model 2,4,Model 1,Model 1,Model 2,Model 1,Model 2,Model 2,3,Model 2,Model 2,Model 1,4,P0006
8/24/2024 14:38:57,Model 2,Model 2,Model 2,Model 2,Model 1,Model 1,Model 2,Model 2,Model 1,7,Model 2,Model 1,Model 1,2,Model 1,Model 2,Model 1,Model 1,Model 2,Model 2,3,Model 1,Model 1,Model 2,2,P0007
8/24/2024 14:38:57,Model 1,Model 2,Model 1,Model 1,Model 1,Model 1,Model 2,Model 2,Model 1,7,Model 2,Model 1,Model 2,3,Model 2,Model 2,Model 1,Model 1,Model 2,Model 2,3,Model 1,Model 1,Model 2,3,P0008
8/24/2024 14:38:57,Model 1,Model 2,Model 1,Model 1,Model 2,Model 2,Model 1,Model 1,Model 1,7,Model 1,Model 1,Model 2,4,Model 2,Model 2,Model 1,Model 1,Model 2,Model 2,3,Model 1,Model 1,Model 1,5,P0009
