Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
P0001,APPROVED,Not Applicable,2024-08-24T18:31:54.387000Z,2024-08-24T18:33:46.880000Z,2024-08-24T18:54:39.142000Z,2024-08-24T18:33:47.676182Z,113,77,"English, Spanish",22,Male,Other,Colombia,Canada,Colombia,English,Yes,Unemployed (and job seeking)
P0002,APPROVED,Not Applicable,2024-08-24T18:32:12.152000Z,2024-08-24T18:33:37.657000Z,2024-08-24T18:54:40.146000Z,2024-08-24T18:33:38.403569Z,86,626,"Chinese, English",33,Female,Asian,Canada,Canada,Canada,Chinese,No,Full-Time
P0003,APPROVED,Not Applicable,2024-08-24T18:34:52.528000Z,2024-08-24T18:36:54.616000Z,2024-08-24T18:54:41.351000Z,2024-08-24T18:37:10.557508Z,123,129,English,33,Male,White,Canada,Canada,Canada,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
P0004,APPROVED,Not Applicable,2024-08-24T18:35:18.296000Z,2024-08-24T18:37:46.371000Z,2024-08-24T18:54:42.128000Z,2024-08-24T18:39:59.808878Z,149,594,"Arabic, English, French",49,Male,Other,Algeria,Canada,Canada,Arabic,Yes,Full-Time
P0008,APPROVED,Not Applicable,2024-08-24T18:35:46.389000Z,2024-08-24T18:39:14.157000Z,2024-08-24T18:54:42.683000Z,2024-08-24T18:40:57.318369Z,208,661,English,26,Male,White,Canada,Canada,Canada,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
P0409,APPROVED,Not Applicable,2024-08-24T18:36:02.545000Z,2024-08-24T18:38:58.010000Z,2024-08-24T18:54:43.169000Z,2024-08-24T18:40:45.346505Z,176,1,English,22,Male,White,Canada,Canada,Canada,English,Yes,Part-Time
P0009,APPROVED,Not Applicable,2024-08-24T18:36:19.199000Z,2024-08-24T18:39:22.538000Z,2024-08-24T18:54:44.027000Z,2024-08-24T18:41:01.010571Z,184,2,English,21,Prefer not to say,Other,Canada,Canada,Canada,English,No,Part-Time
P0005,APPROVED,Not Applicable,2024-08-24T18:36:30.482000Z,2024-08-24T18:38:30.479000Z,2024-08-24T18:54:44.551000Z,2024-08-24T18:40:27.350607Z,120,255,English,27,Female,White,Canada,Canada,Canada,English,DATA_EXPIRED,DATA_EXPIRED
P0007,APPROVED,Not Applicable,2024-08-24T18:36:51.433000Z,2024-08-24T18:39:22.848000Z,2024-08-24T18:54:45.131000Z,2024-08-24T18:41:01.310358Z,152,0,"English, Tagalog-Filipino",20,Female,Asian,Canada,Canada,Canada,Tagalog-Filipino,Yes,Part-Time
P0010,APPROVED,Not Applicable,2024-08-24T18:36:56.340000Z,2024-08-24T18:39:59.452000Z,2024-08-24T18:54:45.814000Z,2024-08-24T18:41:15.495099Z,184,471,English,31,Female,White,Canada,Canada,Canada,English,No,Full-Time
P0012,APPROVED,Not Applicable,2024-08-24T18:37:05.602000Z,2024-08-24T18:40:26.016000Z,2024-08-24T18:54:46.402000Z,2024-08-24T18:41:26.302772Z,201,21,"Twi, English",30,Male,Black,Ghana,Canada,Ghana,Twi,Yes,Part-Time
P0011,APPROVED,Not Applicable,2024-08-24T18:37:50.735000Z,2024-08-24T18:39:17.714000Z,2024-08-24T18:54:46.986000Z,2024-08-24T18:40:59.479070Z,87,124,"Chinese, English",21,Male,Asian,Canada,Canada,Canada,English,Yes,Unemployed (and job seeking)
P0013,APPROVED,Not Applicable,2024-08-24T18:37:55.207000Z,2024-08-24T18:40:37.851000Z,2024-08-24T18:54:47.562000Z,2024-08-24T18:41:30.913616Z,163,9,"English, Chinese",46,Male,Asian,Hong Kong,Canada,Canada,Chinese,No,Unemployed (and job seeking)
P0016,APPROVED,Not Applicable,2024-08-24T18:38:25.607000Z,2024-08-24T18:41:07.011000Z,2024-08-24T18:54:48.166000Z,2024-08-24T18:41:33.681605Z,162,52,English,26,Female,Black,Canada,Canada,Canada,English,No,Full-Time
P0017,APPROVED,Not Applicable,2024-08-24T18:39:01.769000Z,2024-08-24T18:42:33.138000Z,2024-08-24T18:54:48.544000Z,2024-08-24T18:42:33.727002Z,212,4,English,22,Female,White,Canada,Canada,Canada,English,Yes,Unemployed (and job seeking)
