Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
P0032,APPROVED,Not Applicable,2024-09-06T15:12:09.143000Z,2024-09-06T15:15:39.135000Z,2024-09-06T15:48:33.219000Z,2024-09-06T15:15:40.035865Z,210.0,391,"English, French",41,Female,Mixed,Canada,Canada,Canada,English,No,Full-Time
P0029,APPROVED,Not Applicable,2024-09-06T15:12:22.483000Z,2024-09-06T15:13:52.672000Z,2024-09-06T15:48:33.591000Z,2024-09-06T15:13:53.363054Z,91.0,59,English,32,Male,Other,Canada,Canada,Canada,English,No,Full-Time
P0034,APPROVED,Not Applicable,2024-09-06T15:12:31.356000Z,2024-09-06T15:16:07.789000Z,2024-09-06T15:48:33.846000Z,2024-09-06T15:16:08.618554Z,217.0,42,"English, French",30,Female,White,Canada,Canada,Canada,French,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
P0031,APPROVED,Not Applicable,2024-09-06T15:13:05.204000Z,2024-09-06T15:16:35.901000Z,2024-09-06T15:48:34.092000Z,2024-09-06T15:16:36.496152Z,211.0,479,English,31,Female,White,Canada,Canada,Canada,English,DATA_EXPIRED,DATA_EXPIRED
P0033,APPROVED,Not Applicable,2024-09-06T15:13:44.214000Z,2024-09-06T15:16:03.447000Z,2024-09-06T15:48:34.402000Z,2024-09-06T15:16:04.151179Z,140.0,18,English,26,Female,Asian,Canada,Canada,Canada,English,No,Unemployed (and job seeking)
P0037,APPROVED,Not Applicable,2024-09-06T15:14:05.866000Z,2024-09-06T15:17:00.408000Z,2024-09-06T15:48:34.648000Z,2024-09-06T15:17:00.887748Z,175.0,1105,English,28,Female,Other,Canada,Canada,Canada,English,Yes,Other
P0132,APPROVED,Not Applicable,2024-09-06T15:13:15.327000Z,2024-09-06T15:28:15.106000Z,2024-09-06T15:48:34.892000Z,2024-09-06T15:31:07.608382Z,900.0,602,"French, English, Tagalog-Filipino",22,Male,Asian,Canada,Canada,Canada,Tagalog-Filipino,DATA_EXPIRED,DATA_EXPIRED
P0042,APPROVED,Not Applicable,2024-09-06T15:13:36.508000Z,2024-09-06T15:19:41.535000Z,2024-09-06T15:48:35.167000Z,2024-09-06T15:22:09.901627Z,366.0,20,English,28,Male,Black,Nigeria,Canada,Canada,English,No,Full-Time
P0030,APPROVED,Not Applicable,2024-09-06T15:13:46.550000Z,2024-09-06T15:15:14.053000Z,2024-09-06T15:48:35.428000Z,2024-09-06T15:15:14.643610Z,88.0,271,"English, Korean",29,Female,Asian,Canada,Canada,Canada,English,No,Full-Time
P0061,APPROVED,Not Applicable,2024-09-06T15:14:06.291000Z,2024-09-06T16:09:00.702000Z,2024-09-06T16:09:01.641000Z,2024-09-06T16:09:48.084041Z,3295.0,1429,English,49,Male,Black,Nigeria,Canada,Canada,English,No,Full-Time
P0041,APPROVED,Not Applicable,2024-09-06T15:14:32.325000Z,2024-09-06T15:18:10.774000Z,2024-09-06T15:48:35.718000Z,2024-09-06T15:20:52.077612Z,219.0,188,"English, French",33,Female,White,Canada,Canada,Canada,English,No,Full-Time
P0036,APPROVED,Not Applicable,2024-09-06T15:14:23.970000Z,2024-09-06T15:16:43.667000Z,2024-09-06T15:48:35.979000Z,2024-09-06T15:16:44.435646Z,140.0,34,"English, French",24,Male,White,Canada,Canada,Canada,French,Yes,Part-Time
P0047,APPROVED,Not Applicable,2024-09-06T15:14:59.417000Z,2024-09-06T15:18:33.282000Z,2024-09-06T15:48:36.242000Z,2024-09-06T15:21:12.467285Z,214.0,15,English,30,Male,White,Canada,Canada,Canada,English,No,Full-Time
P0038,APPROVED,Not Applicable,2024-09-06T15:14:29.907000Z,2024-09-06T15:17:12.653000Z,2024-09-06T15:48:39.143000Z,2024-09-06T15:17:13.322497Z,163.0,1553,English,33,Male,White,Canada,Canada,Canada,English,DATA_EXPIRED,DATA_EXPIRED
P0098,APPROVED,Not Applicable,2024-09-06T15:23:15.816000Z,2024-09-06T15:26:12.290000Z,2024-09-06T15:48:39.434000Z,2024-09-06T15:26:12.912165Z,177.0,63,English,35,Female,White,Canada,Canada,Canada,English,No,Full-Time
P0035,APPROVED,Not Applicable,2024-09-06T15:14:34.401000Z,2024-09-06T15:16:05.647000Z,2024-09-06T15:48:39.687000Z,2024-09-06T15:16:06.291812Z,92.0,206,"English, Polish",32,Male,White,Canada,Canada,Canada,English,No,Full-Time
P0040,APPROVED,Not Applicable,2024-09-06T15:15:06.557000Z,2024-09-06T15:18:05.654000Z,2024-09-06T15:48:39.944000Z,2024-09-06T15:20:47.199675Z,180.0,20,English,41,Male,White,United States,Canada,Canada,English,No,Full-Time
P0063,APPROVED,Not Applicable,2024-09-06T15:18:37.140000Z,2024-09-06T15:22:26.339000Z,2024-09-06T15:48:40.353000Z,2024-09-06T15:22:47.629210Z,230.0,519,English,31,Female,White,Canada,Canada,Canada,English,No,Full-Time
P0045,APPROVED,Not Applicable,2024-09-06T15:15:26.624000Z,2024-09-06T15:18:26.606000Z,2024-09-06T15:48:40.697000Z,2024-09-06T15:21:06.398842Z,180.0,4,"English, Hindi, Nepali",23,Male,Asian,Canada,Canada,Nepal,English,Yes,Part-Time
P0044,APPROVED,Not Applicable,2024-09-06T15:15:39.573000Z,2024-09-06T15:19:53.937000Z,2024-09-06T15:48:40.991000Z,2024-09-06T15:22:14.473867Z,255.0,713,English,38,Male,Black,Canada,Canada,Canada,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
P0039,APPROVED,Not Applicable,2024-09-06T15:15:40.688000Z,2024-09-06T15:17:20.989000Z,2024-09-06T15:48:41.250000Z,2024-09-06T15:20:02.146027Z,101.0,93,English,18,Male,Asian,Canada,Canada,Canada,English,Yes,Other
P0145,APPROVED,Not Applicable,2024-09-06T15:15:54.659000Z,2024-09-06T15:31:23.548000Z,2024-09-06T15:48:41.512000Z,2024-09-06T15:32:11.524006Z,929.0,102,English,33,Female,White,Canada,Canada,Canada,English,No,Full-Time
P0048,APPROVED,Not Applicable,2024-09-06T15:16:04.246000Z,2024-09-06T15:19:13.700000Z,2024-09-06T15:48:43.496000Z,2024-09-06T15:21:55.706509Z,190.0,73,"English, French",26,Female,White,Canada,Canada,Canada,English,No,Full-Time
P0043,APPROVED,Not Applicable,2024-09-06T15:16:15.759000Z,2024-09-06T15:18:09.677000Z,2024-09-06T15:48:43.751000Z,2024-09-06T15:20:51.188697Z,114.0,45,English,18,Female,Mixed,Canada,Canada,Canada,English,Yes,Unemployed (and job seeking)
P0054,APPROVED,Not Applicable,2024-09-06T15:16:18.817000Z,2024-09-06T15:20:05.607000Z,2024-09-06T15:48:43.998000Z,2024-09-06T15:22:17.153355Z,227.0,37,English,18,Female,Black,Canada,Canada,Canada,English,Yes,Unemployed (and job seeking)
P0069,APPROVED,Not Applicable,2024-09-06T15:18:29.027000Z,2024-09-06T15:22:59.180000Z,2024-09-06T15:48:44.273000Z,2024-09-06T15:22:59.699582Z,271.0,14,"English, French",33,Male,White,Canada,Canada,Canada,French,No,Full-Time
P0051,APPROVED,Not Applicable,2024-09-06T15:16:25.093000Z,2024-09-06T15:18:58.847000Z,2024-09-06T15:48:44.530000Z,2024-09-06T15:21:49.891029Z,154.0,237,English,60,Female,White,Canada,Canada,Canada,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
P0046,APPROVED,Not Applicable,2024-09-06T15:16:31.030000Z,2024-09-06T15:18:20.115000Z,2024-09-06T15:48:44.788000Z,2024-09-06T15:21:01.469643Z,110.0,24,English,42,Female,White,Canada,Canada,Canada,English,No,Full-Time
P0050,APPROVED,Not Applicable,2024-09-06T15:16:32.772000Z,2024-09-06T15:21:19.319000Z,2024-09-06T15:48:45.046000Z,2024-09-06T15:22:39.306049Z,287.0,3,English,18,Male,Asian,India,Canada,India,English,No,Full-Time
P0049,APPROVED,Not Applicable,2024-09-06T15:17:01.957000Z,2024-09-06T15:19:02.873000Z,2024-09-06T15:48:45.302000Z,2024-09-06T15:21:51.314798Z,121.0,7,"English, Tagalog-Filipino",27,Male,Asian,Philippines,Canada,Canada,Tagalog-Filipino,No,DATA_EXPIRED
P0060,APPROVED,Not Applicable,2024-09-06T15:17:31.014000Z,2024-09-06T15:20:59.656000Z,2024-09-06T15:48:45.551000Z,2024-09-06T15:22:35.746044Z,209.0,290,English,42,Male,Mixed,South Africa,Canada,South Africa,English,No,Full-Time
P0058,APPROVED,Not Applicable,2024-09-06T15:17:36.156000Z,2024-09-06T15:21:30.106000Z,2024-09-06T15:48:45.801000Z,2024-09-06T15:22:39.408709Z,234.0,1184,English,64,Male,White,Canada,Canada,Canada,English,No,Part-Time
P0056,APPROVED,Not Applicable,2024-09-06T15:17:35.760000Z,2024-09-06T15:20:35.755000Z,2024-09-06T15:48:46.054000Z,2024-09-06T15:22:30.551483Z,180.0,188,"English, French",34,Female,Mixed,Canada,Canada,Canada,English,No,Unemployed (and job seeking)
P0055,APPROVED,Not Applicable,2024-09-06T15:17:40.490000Z,2024-09-06T15:20:37.512000Z,2024-09-06T15:48:46.301000Z,2024-09-06T15:22:31.045530Z,178.0,183,"French, English",50,Female,White,Canada,Canada,Canada,French,No,Full-Time
P0053,APPROVED,Not Applicable,2024-09-06T15:17:47.666000Z,2024-09-06T15:20:03.085000Z,2024-09-06T15:48:46.547000Z,2024-09-06T15:22:16.116919Z,136.0,321,"French, English",40,Female,White,Canada,Canada,Canada,French,No,Full-Time
