Timestamp,Which image looks better?,Which image looks better?,Which image looks better?,Which image looks better?,Which image looks better?,Which image looks better?,Which image looks better?,Which image looks better?,What is 2+3?,Which image looks better?,Which image looks better?,Which image looks better?,Which image looks better?,Which image looks better?,What is your Prolific ID?
2025/10/04 4:28:47 PM AST,Option 2,Option 1,Option 2,Option 2,Option 2,Option 2,Option 2,Option 2,5,Option 2,Option 2,Option 2,Option 2,Option 2,P0001
2025/10/04 4:28:52 PM AST,Option 2,Option 2,Option 2,Option 2,Option 2,Option 2,Option 2,Option 2,5,Option 1,Option 2,Option 1,Option 1,Option 1,P0002
2025/10/04 4:28:56 PM AST,Option 2,Option 2,Option 2,Option 1,Option 2,Option 2,Option 2,Option 2,5,Option 2,Option 2,Option 1,Option 2,Option 2,P0003
2025/10/04 4:28:59 PM AST,Option 2,Option 2,Option 2,Option 1,Option 2,Option 2,Option 2,Option 2,5,Option 1,Option 2,Option 1,Option 2,Option 2,P0004
2025/10/04 4:29:16 PM AST,Option 1,Option 2,Option 1,Option 1,Option 1,Option 1,Option 2,Option 2,5,Option 2,Option 2,Option 2,Option 2,Option 2,P0005
2025/10/04 4:29:17 PM AST,Option 1,Option 2,Option 2,Option 1,Option 2,Option 2,Option 2,Option 2,5,Option 2,Option 2,Option 2,Option 2,Option 2,P0006
2025/10/04 4:29:19 PM AST,Option 2,Option 2,Option 2,Option 2,Option 1,Option 2,Option 2,Option 2,5,Option 2,Option 2,Option 1,Option 1,Option 2,P0007
2025/10/04 4:29:19 PM AST,Option 2,Option 2,Option 2,Option 1,Option 2,Option 2,Option 2,Option 2,5,Option 2,Option 2,Option 2,Option 2,Option 2,P0008
2025/10/04 4:29:21 PM AST,Option 2,Option 2,Option 2,Option 1,Option 2,Option 2,Option 2,Option 2,5,Option 2,Option 2,Option 1,Option 2,Option 2,P0009
2025/10/04 4:29:26 PM AST,Option 2,Option 2,Option 2,Option 2,Option 2,Option 1,Option 2,Option 2,5,Option 2,Option 1,Option 2,Option 1,Option 1,P0010
2025/10/04 4:29:28 PM AST,Option 2,Option 2,Option 2,Option 2,Option 1,Option 2,Option 2,Option 2,5,Option 2,Option 1,Option 1,Option 1,Option 2,P0011
