Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
P0024,APPROVED,Not Applicable,2025-10-04T20:28:13.419000Z,2025-10-04T20:29:54.247000Z,2025-10-05T14:15:45.708000Z,2025-10-04T20:30:00.706184Z,101.0,5570,English,48,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
P0009,APPROVED,Not Applicable,2025-10-04T20:28:13.620000Z,2025-10-04T20:29:39.598000Z,2025-10-05T14:15:45.975000Z,2025-10-04T20:29:41.115875Z,86.0,2624,English,65,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
P0003,APPROVED,Not Applicable,2025-10-04T20:28:10.158000Z,2025-10-04T20:29:03.012000Z,2025-10-05T14:15:46.237000Z,2025-10-04T20:29:05.529185Z,53.0,257,"English, Italian, Spanish",59,Male,White,Spain,Spain,Spain,Spanish,No,Full-Time
P0019,APPROVED,Not Applicable,2025-10-04T20:28:15.969000Z,2025-10-04T20:29:51.498000Z,2025-10-05T14:15:46.516000Z,2025-10-04T20:29:56.715885Z,96.0,2160,"English, Polish",30,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
P0032,APPROVED,Not Applicable,2025-10-04T20:28:13.771000Z,2025-10-04T20:30:13.349000Z,2025-10-05T14:15:46.858000Z,2025-10-04T20:30:13.724905Z,120.0,1130,"Afrikaans, English, Portuguese, Finnish, German, Japanese, Chinese",26,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
P0001,APPROVED,Not Applicable,2025-10-04T20:28:17.086000Z,2025-10-04T20:28:53.503000Z,2025-10-05T14:15:47.123000Z,2025-10-04T20:28:56.814251Z,37.0,988,"English, French, Czech",31,Male,White,Canada,Canada,Canada,English,No,Other
P0036,APPROVED,Not Applicable,2025-10-04T20:28:14.755000Z,2025-10-04T20:30:17.613000Z,2025-10-05T14:15:47.400000Z,2025-10-04T20:30:18.079805Z,123.0,2496,English,24,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
P0006,APPROVED,Not Applicable,2025-10-04T20:28:34.908000Z,2025-10-04T20:29:25.640000Z,2025-10-05T14:15:47.651000Z,2025-10-04T20:29:26.090855Z,51.0,4100,English,29,Male,White,United States,United States,United States,English,No,Full-Time
P0004,APPROVED,Not Applicable,2025-10-04T20:28:17.853000Z,2025-10-04T20:29:09.907000Z,2025-10-05T14:15:47.908000Z,2025-10-04T20:29:16.478395Z,53.0,1483,"Polish, English",30,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
P0045,APPROVED,Not Applicable,2025-10-04T20:28:48.569000Z,2025-10-04T20:30:47.741000Z,2025-10-05T14:15:48.176000Z,2025-10-04T20:30:48.136898Z,120.0,311,English,22,Male,Mixed,South Africa,South Africa,South Africa,English,No,Unemployed (and job seeking)
P0037,APPROVED,Not Applicable,2025-10-04T20:28:15.514000Z,2025-10-04T20:30:29.258000Z,2025-10-05T14:15:48.433000Z,2025-10-04T20:30:31.234373Z,134.0,1386,"English, Portuguese",29,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
P0010,APPROVED,Not Applicable,2025-10-04T20:28:20.916000Z,2025-10-04T20:29:40.548000Z,2025-10-05T14:15:48.705000Z,2025-10-04T20:29:46.999168Z,80.0,2964,English,49,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
P0097,APPROVED,Not Applicable,2025-10-04T20:28:21.209000Z,2025-10-04T20:38:19.248000Z,2025-10-05T14:15:48.967000Z,2025-10-04T20:38:27.231824Z,599.0,4470,English,40,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
P0005,APPROVED,Not Applicable,2025-10-04T20:28:21.331000Z,2025-10-04T20:29:31.074000Z,2025-10-05T14:15:49.254000Z,2025-10-04T20:29:31.524084Z,70.0,5698,English,39,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
P0008,APPROVED,Not Applicable,2025-10-04T20:28:17.021000Z,2025-10-04T20:32:06.190000Z,2025-10-05T14:15:49.513000Z,2025-10-04T20:32:07.885263Z,230.0,690,"English, Spanish",27,Male,Other,Chile,Chile,Chile,Spanish,No,Unemployed (and job seeking)
P0052,APPROVED,Not Applicable,2025-10-04T20:28:22.379000Z,2025-10-04T20:30:53.832000Z,2025-10-05T14:15:49.760000Z,2025-10-04T20:30:57.435659Z,152.0,383,English,35,Female,Black,Zimbabwe,South Africa,Zimbabwe,English,No,Full-Time
P0056,APPROVED,Not Applicable,2025-10-04T20:29:16.128000Z,2025-10-04T20:30:55.540000Z,2025-10-05T14:15:50.017000Z,2025-10-04T20:30:57.543425Z,100.0,809,"English, Korean",36,Female,Mixed,Korea,South Africa,South Africa,English,Yes,Full-Time
P0074,APPROVED,Not Applicable,2025-10-04T20:28:23.575000Z,2025-10-04T20:31:16.486000Z,2025-10-05T14:15:50.290000Z,2025-10-04T20:31:26.498947Z,173.0,2411,"Polish, English",35,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
P0011,APPROVED,Not Applicable,2025-10-04T20:28:18.049000Z,2025-10-04T20:29:36.498000Z,2025-10-05T14:15:50.550000Z,2025-10-04T20:29:44.040204Z,79.0,1317,"English, Spanish",40,Male,White,Spain,Spain,Spain,Spanish,DATA_EXPIRED,DATA_EXPIRED
P0013,APPROVED,Not Applicable,2025-10-04T20:28:18.344000Z,2025-10-04T20:29:42.727000Z,2025-10-05T14:15:50.795000Z,2025-10-04T20:29:46.699157Z,85.0,3387,English,59,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
P0002,APPROVED,Not Applicable,2025-10-04T20:28:19.860000Z,2025-10-04T20:29:01.220000Z,2025-10-05T14:15:51.073000Z,2025-10-04T20:29:04.541846Z,42.0,1033,"Polish, English",32,Male,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,Unemployed (and job seeking)
P0082,APPROVED,Not Applicable,2025-10-04T20:28:28.233000Z,2025-10-04T20:31:34.276000Z,2025-10-05T14:15:51.318000Z,2025-10-04T20:31:34.699282Z,187.0,1727,"Spanish, English",33,Male,White,Chile,Chile,Chile,Spanish,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
P0069,APPROVED,Not Applicable,2025-10-04T20:28:27.388000Z,2025-10-04T20:31:32.253000Z,2025-10-05T14:15:51.608000Z,2025-10-04T20:31:36.516767Z,185.0,194,English,33,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
P0095,APPROVED,Not Applicable,2025-10-04T20:28:28.207000Z,2025-10-04T20:35:59Z,2025-10-05T14:15:51.869000Z,2025-10-04T20:36:01.130583Z,451.0,595,English,65,Female,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
P0028,APPROVED,Not Applicable,2025-10-04T20:28:27.864000Z,2025-10-04T20:30:09.499000Z,2025-10-05T14:15:52.169000Z,2025-10-04T20:30:12.270712Z,102.0,2475,English,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
P0014,APPROVED,Not Applicable,2025-10-04T20:28:25.437000Z,2025-10-04T20:29:42.279000Z,2025-10-05T14:15:52.442000Z,2025-10-04T20:29:44.973730Z,77.0,784,English,29,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
P0088,APPROVED,Not Applicable,2025-10-04T20:28:27.663000Z,2025-10-04T20:32:17.852000Z,2025-10-05T14:15:52.732000Z,2025-10-04T20:32:19.808037Z,231.0,989,English,30,Female,Black,Nigeria,United Kingdom,Nigeria,English,DATA_EXPIRED,Full-Time
P0046,APPROVED,Not Applicable,2025-10-04T20:28:30.347000Z,2025-10-04T20:30:31.740000Z,2025-10-05T14:15:52.987000Z,2025-10-04T20:30:35.774933Z,122.0,872,"Spanish, English",37,Female,White,Mexico,Mexico,Mexico,Spanish,No,Full-Time
P0007,APPROVED,Not Applicable,2025-10-04T20:28:26.333000Z,2025-10-04T20:29:36.410000Z,2025-10-05T14:15:53.258000Z,2025-10-04T20:29:38.745168Z,71.0,5150,English,37,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
P0055,APPROVED,Not Applicable,2025-10-04T20:28:30.229000Z,2025-10-04T20:31:01.873000Z,2025-10-05T14:15:53.546000Z,2025-10-04T20:31:02.284325Z,152.0,496,English,28,Female,Black,Nigeria,United Kingdom,Nigeria,English,No,Full-Time
P0044,APPROVED,Not Applicable,2025-10-04T20:28:28.781000Z,2025-10-04T20:30:31.803000Z,2025-10-05T14:15:53.837000Z,2025-10-04T20:30:33.576756Z,124.0,283,"Afrikaans, English, Twi, Other",54,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
P0043,APPROVED,Not Applicable,2025-10-04T20:28:28.060000Z,2025-10-04T20:30:31.614000Z,2025-10-05T14:15:54.136000Z,2025-10-04T20:30:32.941366Z,124.0,156,"Amharic, English",19,Male,Black,Ethiopia,Canada,Ethiopia,Amharic,Yes,Due to start a new job within the next month
P0085,APPROVED,Not Applicable,2025-10-04T20:28:27.074000Z,2025-10-04T20:31:44.914000Z,2025-10-05T14:15:54.408000Z,2025-10-04T20:31:46.642204Z,198.0,515,English,22,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
P0033,APPROVED,Not Applicable,2025-10-04T20:28:29.240000Z,2025-10-04T20:30:10.655000Z,2025-10-05T14:15:54.645000Z,2025-10-04T20:30:11.016368Z,102.0,1874,"English, French",24,Female,White,France,France,France,French,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
P0042,APPROVED,Not Applicable,2025-10-04T20:28:31.834000Z,2025-10-04T20:30:32.533000Z,2025-10-05T14:15:54.882000Z,2025-10-04T20:30:34.447366Z,121.0,2323,English,57,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
P0017,APPROVED,Not Applicable,2025-10-04T20:28:27.859000Z,2025-10-04T20:29:45.924000Z,2025-10-05T14:15:55.146000Z,2025-10-04T20:29:55.480593Z,79.0,178,"Portuguese, English",22,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Part-Time
P0093,APPROVED,Not Applicable,2025-10-04T20:30:27.956000Z,2025-10-04T20:33:01.253000Z,2025-10-05T14:15:55.398000Z,2025-10-04T20:33:03.343621Z,154.0,617,English,29,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
P0016,APPROVED,Not Applicable,2025-10-04T20:28:31.922000Z,2025-10-04T20:29:43.795000Z,2025-10-05T14:15:55.666000Z,2025-10-04T20:29:47.359590Z,72.0,658,"Dutch, English, German",32,Male,White,Netherlands,Netherlands,Netherlands,Dutch,No,Full-Time
P0022,APPROVED,Not Applicable,2025-10-04T20:28:25.080000Z,2025-10-04T20:29:52.941000Z,2025-10-05T14:15:55.936000Z,2025-10-04T20:29:56.635851Z,88.0,4644,English,43,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
P0100,APPROVED,Not Applicable,2025-10-04T20:28:32.603000Z,2025-10-04T20:31:35.593000Z,2025-10-05T14:15:56.204000Z,2025-10-04T20:31:37.840936Z,183.0,152,"Polish, English",24,Female,White,Poland,Poland,Poland,Polish,Yes,Unemployed (and job seeking)
